  Depth   Lower     Upper        Mid    Spread        xaxis      yaxis pestimate
F 786.5 11104.5   66699.0   38901.75   55594.5     18232.06   13044.75 0.2845157
E 393.5  6157.0  157906.5   82031.75  151749.5    172343.66   56174.75 0.6740539
D 197.0  3423.0  321520.0  162471.50  318097.0    850058.92  136614.50 0.8392882
C  99.0  2071.0  622263.0  312167.00  620192.0   3444578.75  286310.00 0.9168810
B  50.0  1321.0  919040.0  460180.50  917719.0   7719165.86  434323.50 0.9437344
A  25.5   813.0 1401948.0  701380.50 1401135.0  18314708.22  675523.50 0.9631158
Z  13.0   662.0 1951269.0  975965.50 1950607.0  35849539.37  950108.50 0.9734973
Y   7.0   494.0 2504700.0 1252597.00 2504206.0  59416269.29 1226740.00 0.9793535
X   4.0   416.0 3817117.0 1908766.50 3816701.0 138978802.96 1882909.50 0.9864518
W   2.5   188.0 4643567.0 2321877.50 4643379.0 206171486.85 2296020.50 0.9888635
V   1.5    86.0 7506640.0 3753363.00 7506554.0 541079576.49 3727506.00 0.9931110
U   1.0    82.0 9818605.0 4909343.50 9818523.0 927201316.30 4883486.50 0.9947331
