  Depth   Lower   Upper     Mid  Spread      xaxis    yaxis pestimate
F 459.5 37.5471 52.9437 45.2454 15.3965  0.6648534  0.49330 0.2580319
E 230.0 33.2277 57.8372 45.5325 24.6095  1.6984211  0.78035 0.5405439
D 115.5 29.4723 63.3465 46.4094 33.8741  3.2357364  1.65730 0.4878137
C  58.0 26.0287 67.9910 47.0098 41.9622  4.9752536  2.25775 0.5462040
B  29.5 22.9927 70.9356 46.9641 47.9430  6.4748200  2.21205 0.6583612
A  15.0 17.1248 75.0464 46.0856 57.9216  9.3906896  1.33350 0.8579976
Z   8.0  0.0000 80.7838 40.3919 80.7838 18.4406646 -4.36020 1.2364448
Y   4.5  0.0000 86.3004 43.1502 86.3004 20.8314900 -1.60190 1.0768980
X   2.5  0.0000 93.6227 46.8114 93.6227 24.5300556  2.05925 0.9160520
W   1.5  0.0000 94.8623 47.4312 94.8623 25.2154793  2.67905 0.8937538
V   1.0  0.0000 95.8812 47.9406 95.8812 25.7917244  3.18850 0.8763751
