  Depth     Lower    Upper      Mid   Spread     xaxis     yaxis pestimate
F 459.5 1409.7872 2803.033 2106.410 1393.246  123.8372  103.6621 0.1629160
E 230.0 1104.0833 3345.146 2224.615 2241.062  325.7561  221.8664 0.3189187
D 115.5  868.6192 4012.782 2440.700 3144.163  664.8969  437.9524 0.3413228
C  58.0  677.4954 4622.770 2650.133 3945.274 1076.1223  647.3844 0.3984100
B  29.5  528.6672 5031.890 2780.278 4503.222 1416.6302  777.5304 0.4511409
A  15.0  293.2576 5631.962 2962.610 5338.705 2008.9339  959.8619 0.5222033
Z   8.0    0.0000 6526.025 3263.012 6526.025 3054.6817 1260.2643 0.5874319
Y   4.5    0.0000 7448.501 3724.250 7448.501 4202.6279 1721.5022 0.5903748
X   2.5    0.0000 8765.261 4382.630 8765.261 6209.2899 2379.8822 0.6167223
W   1.5    0.0000 8999.896 4499.948 8999.896 6612.2996 2497.2000 0.6223402
V   1.0    0.0000 9193.204 4596.602 9193.204 6954.6510 2593.8539 0.6270332
